Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
Sat,2022-04-30,19:30 (20:30),Sporting KC,1.6,2–2,0.9,FC Dallas,17334,Children's Mercy Park,Nima Saghafi,Match Report,
Sun,2022-05-01,19:00 (22:00),Los Angeles FC,2.6,2–0,0.8,Minnesota Utd,22010,Banc of California Stadium,Allen Chapman,Match Report,
Wed,2022-05-04,19:30,FC Cincinnati,4.2,2–0,0.8,Toronto FC,19563,West End Stadium,Lukasz Szpala,Match Report,
Sat,2022-05-07,15:30,Charlotte,1.2,1–0,1.0,Inter Miami,32018,Bank of America Stadium,Rubiel Vazquez,Match Report,
Sat,2022-05-07,16:00,CF Montréal,3.0,4–1,0.2,Orlando City,14068,Saputo Stadium,Guido Gonzalez Jr.,Match Report,
Sat,2022-05-07,18:00,Atlanta Utd,2.5,4–1,1.7,Chicago Fire,42547,Mercedes-Benz Stadium,Ramy Touchan,Match Report,
Sat,2022-05-07,19:00,NYCFC,1.2,0–0,0.6,Sporting KC,15031,Citi Field,Tim Ford,Match Report,
Sat,2022-05-07,19:00,NY Red Bulls,1.1,1–1,0.8,Portland Timbers,17107,Red Bull Arena,Joe Dickerson,Match Report,
Sat,2022-05-07,19:30,D.C. United,0.9,2–0,0.7,Houston Dynamo,15194,Audi Field,Jon Freemon,Match Report,
Sat,2022-05-07,19:30,New England,1.0,2–2,1.7,Columbus Crew,26421,Gillette Stadium,Nima Saghafi,Match Report,
Sun,2022-05-08,13:00 (16:00),Vancouver,2.8,1–0,1.8,Toronto FC,17709,BC Place,Victor Rivas,Match Report,
Sun,2022-05-08,16:00 (17:00),Nashville,2.0,2–0,0.2,Real Salt Lake,28226,Geodis Park,Fotis Bazakos,Match Report,
Sun,2022-05-08,18:00 (19:00),Austin,1.2,0–1,1.4,LA Galaxy,20738,Q2 Stadium,Ismail Elfath,Match Report,
